state,district,season,crop,area,production
असम (Assam),DIMA HASAO,Whole Year ,Sweet potato,45,216
असम (Assam),GOLAGHAT,Rabi       ,Rapeseed &Mustard,3195,1985
असम (Assam),KOKRAJHAR,Kharif     ,Arhar/Tur,273,177
असम (Assam),DHUBRI,Whole Year ,Banana,1371,20968
असम (Assam),DHUBRI,Whole Year ,Turmeric,363,285
असम (Assam),BAKSA,Kharif     ,Maize,510,2351
असम (Assam),SONITPUR,Whole Year ,Turmeric,1013,854
असम (Assam),GOALPARA,Rabi       ,Masoor,1050,496
असम (Assam),DIMA HASAO,Kharif     ,Small millets,8,4
असम (Assam),DIBRUGARH,Kharif     ,Cotton(lint),30,13
असम (Assam),NAGAON,Whole Year ,Onion,1016,2134
असम (Assam),BARPETA,Whole Year ,Banana,2280,35650
असम (Assam),LAKHIMPUR,Kharif     ,Mesta,20,79
असम (Assam),KARIMGANJ,Kharif     ,Maize,5,3
असम (Assam),DIMA HASAO,Whole Year ,Tobacco,29,23
असम (Assam),GOLAGHAT,Rabi       ,Other  Rabi pulses,3961,2456
असम (Assam),HAILAKANDI,Kharif     ,Jute,30,328
असम (Assam),CACHAR,Whole Year ,Potato,2063,12080
असम (Assam),GOLAGHAT,Whole Year ,Tapioca,8,31
असम (Assam),SONITPUR,Rabi       ,Wheat,472,663
असम (Assam),KOKRAJHAR,Whole Year ,Onion,451,1337
असम (Assam),KOKRAJHAR,Rabi       ,Linseed,566,280
असम (Assam),GOLAGHAT,Summer     ,Paddy,4555,11564
असम (Assam),DIBRUGARH,Whole Year ,Potato,2500,15383
असम (Assam),KARBI ANGLONG,Kharif     ,Mesta,175,461
असम (Assam),BAKSA,Kharif     ,Castor seed,41,21
असम (Assam),KOKRAJHAR,Whole Year ,Sugarcane,196,6980
असम (Assam),TINSUKIA,Rabi       ,Moong(Green Gram),71,28
असम (Assam),DHUBRI,Rabi       ,Peas & beans (Pulses),369,411
असम (Assam),TINSUKIA,Kharif     ,Arhar/Tur,93,70
असम (Assam),DARRANG,Whole Year ,Onion,535,1338
असम (Assam),KOKRAJHAR,Whole Year ,Sugarcane,156,5647
असम (Assam),KAMRUP,Whole Year ,Arecanut,5325,2232
असम (Assam),DIMA HASAO,Kharif     ,Castor seed,47,29
असम (Assam),DIMA HASAO,Kharif     ,Small millets,8,4
असम (Assam),DHEMAJI,Kharif     ,Cotton(lint),9,4
असम (Assam),KARBI ANGLONG,Kharif     ,Niger seed,45,26
असम (Assam),KAMRUP METRO,Kharif     ,Mesta,12,58
असम (Assam),KARIMGANJ,Winter     ,Rice,61309,121010
असम (Assam),DHEMAJI,Kharif     ,Niger seed,5,2
असम (Assam),BAKSA,Kharif     ,Small millets,264,128
असम (Assam),BONGAIGAON,Whole Year ,Dry chillies,818,528
असम (Assam),JORHAT,Whole Year ,Black pepper,119,148
असम (Assam),BAKSA,Rabi       ,Linseed,516,316
असम (Assam),HAILAKANDI,Rabi       ,Urad,650,361
असम (Assam),DIMA HASAO,Kharif     ,Tobacco,28,22
असम (Assam),NAGAON,Kharif     ,Cotton(lint),14,6
असम (Assam),KOKRAJHAR,Kharif     ,Mesta,978,5373
असम (Assam),CACHAR,Rabi       ,Linseed,43,20
असम (Assam),NALBARI,Rabi       ,Moong(Green Gram),340,145
असम (Assam),NAGAON,Kharif     ,Orange,40,503
असम (Assam),KAMRUP,Rabi       ,Linseed,771,336
असम (Assam),HAILAKANDI,Rabi       ,Peas & beans (Pulses),370,211
असम (Assam),MARIGAON,Kharif     ,Castor seed,20,4
असम (Assam),LAKHIMPUR,Rabi       ,Moong(Green Gram),518,233
असम (Assam),BONGAIGAON,Summer     ,Rice,9931,14064
असम (Assam),BONGAIGAON,Whole Year ,Coconut ,661,5534000
असम (Assam),TINSUKIA,Rabi       ,Gram,6,4
असम (Assam),NAGAON,Kharif     ,Arhar/Tur,539,419
असम (Assam),DIMA HASAO,Whole Year ,Turmeric,254,137
असम (Assam),DIMA HASAO,Kharif     ,Small millets,8,4
असम (Assam),KAMRUP,Kharif     ,Niger seed,431,221
असम (Assam),DARRANG,Kharif     ,Cotton(lint),40,19
असम (Assam),KARBI ANGLONG,Whole Year ,Arecanut,1302,1310
असम (Assam),KARIMGANJ,Whole Year ,Turmeric,275,151
असम (Assam),SIVASAGAR,Winter     ,Rice,97210,183026
असम (Assam),KAMRUP METRO,Rabi       ,Wheat,120,146
असम (Assam),DARRANG,Kharif     ,Cotton(lint),6,3
असम (Assam),GOLAGHAT,Kharif     ,Small millets,43,20
असम (Assam),BONGAIGAON,Whole Year ,Sweet potato,380,1140
असम (Assam),MARIGAON,Rabi       ,Rapeseed &Mustard,5000,1965
असम (Assam),GOLAGHAT,Kharif     ,Small millets,57,34
असम (Assam),SIVASAGAR,Whole Year ,Dry chillies,128,99
असम (Assam),MARIGAON,Kharif     ,Cotton(lint),10,5
असम (Assam),SIVASAGAR,Kharif     ,Jute,46,455
असम (Assam),BAKSA,Kharif     ,Niger seed,415,241
असम (Assam),BAKSA,Rabi       ,Peas & beans (Pulses),1138,924
असम (Assam),DIMA HASAO,Kharif     ,Small millets,10,5
असम (Assam),KAMRUP,Rabi       ,Gram,222,70
असम (Assam),JORHAT,Whole Year ,Potato,2178,10986
असम (Assam),KARIMGANJ,Rabi       ,Urad,48,28
असम (Assam),SONITPUR,Kharif     ,Small millets,174,98
असम (Assam),MARIGAON,Kharif     ,Maize,40,16
असम (Assam),TINSUKIA,Kharif     ,Castor seed,5,2
असम (Assam),DIBRUGARH,Whole Year ,Arecanut,3380,2887
असम (Assam),SIVASAGAR,Whole Year ,Sugarcane,112,4439
असम (Assam),KAMRUP,Whole Year ,Tobacco,1,1
असम (Assam),SONITPUR,Whole Year ,Tobacco,85,54
असम (Assam),DIMA HASAO,Whole Year ,Potato,220,1964
असम (Assam),GOLAGHAT,Whole Year ,Turmeric,285,86
असम (Assam),JORHAT,Kharif     ,Orange,71,912
असम (Assam),BONGAIGAON,Whole Year ,Banana,708,10238
असम (Assam),DARRANG,Rabi       ,Wheat,2917,5236
असम (Assam),SONITPUR,Autumn     ,Rice,20669,32904
असम (Assam),DHUBRI,Kharif     ,Small millets,532,379
असम (Assam),KARBI ANGLONG,Rabi       ,Wheat,1276,1712
असम (Assam),GOALPARA,Rabi       ,Linseed,355,189
असम (Assam),SIVASAGAR,Kharif     ,Sugarcane,114,4687
असम (Assam),BAKSA,Rabi       ,Linseed,673,398
असम (Assam),DHEMAJI,Rabi       ,Masoor,550,256
असम (Assam),GOALPARA,Rabi       ,Pineapple,520,8021
असम (Assam),NAGAON,Rabi       ,Arecanut,4889,4753
असम (Assam),NAGAON,Whole Year ,Tapioca,20,96
असम (Assam),BARPETA,Whole Year ,Potato,7256,37566
असम (Assam),DIBRUGARH,Whole Year ,Sugarcane,44,1689
असम (Assam),BAKSA,Kharif     ,Sesamum,509,266
असम (Assam),BARPETA,Rabi       ,Dry chillies,2941,3706
बिहार (Bihar),MUZAFFARPUR,Whole Year ,Sannhamp,3,2
बिहार (Bihar),KHAGARIA,Winter     ,Rice,11431,12223
बिहार (Bihar),SARAN,Whole Year ,Banana,212,5135
बिहार (Bihar),SIWAN,Whole Year ,Potato,3603,31015
बिहार (Bihar),KATIHAR,Rabi       ,Gram,168,93
बिहार (Bihar),GAYA,Autumn     ,Maize,3244,3931
बिहार (Bihar),KHAGARIA,Rabi       ,Rapeseed &Mustard,3138,3386
बिहार (Bihar),LAKHISARAI,Rabi       ,Maize,5,18
बिहार (Bihar),KHAGARIA,Whole Year ,Coriander,113,104
बिहार (Bihar),BHAGALPUR,Rabi       ,Khesari,1641,839
बिहार (Bihar),BANKA,Rabi       ,Masoor,1461,1121
बिहार (Bihar),PURBI CHAMPARAN,Kharif     ,Ragi,16,6
बिहार (Bihar),PURNIA,Rabi       ,Sunflower,1627,2366
बिहार (Bihar),MUNGER,Kharif     ,Arhar/Tur,117,334
बिहार (Bihar),KISHANGANJ,Kharif     ,Mesta,2265,15352
बिहार (Bihar),JAMUI,Rabi       ,Linseed,211,173
बिहार (Bihar),MUZAFFARPUR,Kharif     ,Small millets,3,2
बिहार (Bihar),PATNA,Kharif     ,Maize,7569,14350
बिहार (Bihar),NAWADA,Whole Year ,Sweet potato,7,76
बिहार (Bihar),KATIHAR,Kharif     ,Maize,18878,17509
बिहार (Bihar),SUPAUL,Kharif     ,Groundnut,25,28
बिहार (Bihar),PURNIA,Rabi       ,Maize,11323,20563
बिहार (Bihar),PURBI CHAMPARAN,Rabi       ,Maize,7139,29356
बिहार (Bihar),ARARIA,Kharif     ,Ragi,1272,876
बिहार (Bihar),PASHCHIM CHAMPARAN,Whole Year ,Dry ginger,86,140
बिहार (Bihar),KATIHAR,Rabi       ,Wheat,36617,116900
बिहार (Bihar),BANKA,Rabi       ,Other  Rabi pulses,237,261
बिहार (Bihar),NALANDA,Kharif     ,Arhar/Tur,268,503
बिहार (Bihar),MUNGER,Rabi       ,Linseed,96,53
बिहार (Bihar),KHAGARIA,Kharif     ,Other Kharif pulses,58,30
बिहार (Bihar),BEGUSARAI,Whole Year ,Garlic,8,12
बिहार (Bihar),BHOJPUR,Kharif     ,Moong(Green Gram),118,83
बिहार (Bihar),SARAN,Summer     ,Maize,6806,22808
बिहार (Bihar),BANKA,Whole Year ,Onion,156,1623
बिहार (Bihar),BHAGALPUR,Kharif     ,Jowar,8,8
बिहार (Bihar),BUXAR,Whole Year ,Garlic,3,4
बिहार (Bihar),MADHEPURA,Whole Year ,Potato,3900,45839
बिहार (Bihar),SITAMARHI,Whole Year ,Sweet potato,226,2721
बिहार (Bihar),MUNGER,Whole Year ,Sugarcane,201,9780
बिहार (Bihar),SAHARSA,Summer     ,Moong(Green Gram),17796,4983
बिहार (Bihar),KATIHAR,Rabi       ,Khesari,763,512
बिहार (Bihar),MADHUBANI,Kharif     ,Urad,1041,908
बिहार (Bihar),PATNA,Rabi       ,Peas & beans (Pulses),750,758
बिहार (Bihar),PURBI CHAMPARAN,Rabi       ,Gram,32,33
बिहार (Bihar),MUNGER,Kharif     ,Rice,167,279
बिहार (Bihar),DARBHANGA,Whole Year ,Sweet potato,209,1542
बिहार (Bihar),JEHANABAD,Whole Year ,Sweet potato,1,14
बिहार (Bihar),BEGUSARAI,Rabi       ,Rapeseed &Mustard,10400,20561
बिहार (Bihar),JEHANABAD,Whole Year ,Sugarcane,304,11271
बिहार (Bihar),ARARIA,Autumn     ,Rice,20215,25762
बिहार (Bihar),BHOJPUR,Whole Year ,Potato,3053,42886
बिहार (Bihar),SARAN,Summer     ,Moong(Green Gram),2398,1235
बिहार (Bihar),JAMUI,Rabi       ,Other  Rabi pulses,13,10
बिहार (Bihar),SARAN,Rabi       ,Wheat,98192,188654
बिहार (Bihar),SHEOHAR,Summer     ,Moong(Green Gram),272,110
बिहार (Bihar),VAISHALI,Autumn     ,Rice,4298,3684
बिहार (Bihar),KATIHAR,Summer     ,Maize,8103,18777
बिहार (Bihar),ROHTAS,Kharif     ,Horse-gram,197,157
बिहार (Bihar),SAHARSA,Rabi       ,Rapeseed &Mustard,754,976
बिहार (Bihar),LAKHISARAI,Rabi       ,Rapeseed &Mustard,2465,4141
बिहार (Bihar),KHAGARIA,Summer     ,Rice,302,521
बिहार (Bihar),ARARIA,Rabi       ,Gram,1216,1172
बिहार (Bihar),KATIHAR,Rabi       ,Rapeseed &Mustard,4968,2673
बिहार (Bihar),SAMASTIPUR,Kharif     ,Rice,1273,1651
बिहार (Bihar),KATIHAR,Summer     ,Rice,43555,78797
बिहार (Bihar),KATIHAR,Rabi       ,Linseed,1184,664
बिहार (Bihar),PURBI CHAMPARAN,Whole Year ,Potato,7840,68563
बिहार (Bihar),JEHANABAD,Rabi       ,Linseed,616,388
बिहार (Bihar),PURBI CHAMPARAN,Whole Year ,Turmeric,368,400
बिहार (Bihar),SAMASTIPUR,Whole Year ,Sannhamp,65,56
बिहार (Bihar),BEGUSARAI,Kharif     ,Ragi,38,37
बिहार (Bihar),KAIMUR (BHABUA),Summer     ,Maize,41,198
बिहार (Bihar),SHEOHAR,Rabi       ,Rapeseed &Mustard,241,180
बिहार (Bihar),BANKA,Kharif     ,Sannhamp,983,4355.55
बिहार (Bihar),BHOJPUR,Rabi       ,Gram,5368,5212
बिहार (Bihar),GAYA,Kharif     ,Arhar/Tur,1040,1013
बिहार (Bihar),BEGUSARAI,Kharif     ,Small millets,229,194
बिहार (Bihar),SITAMARHI,Kharif     ,Arhar/Tur,57,83
बिहार (Bihar),BUXAR,Whole Year ,Potato,4262,47319
बिहार (Bihar),ARWAL,Rabi       ,Rapeseed &Mustard,102,90
बिहार (Bihar),KATIHAR,Rabi       ,Barley,341,394
बिहार (Bihar),BEGUSARAI,Whole Year ,Sugarcane,2937,79407
बिहार (Bihar),KHAGARIA,Kharif     ,Jute,1,9
बिहार (Bihar),ARARIA,Kharif     ,Mesta,2852,19346
बिहार (Bihar),ARWAL,Rabi       ,Gram,763,613
बिहार (Bihar),BEGUSARAI,Whole Year ,Sweet potato,190,2628
बिहार (Bihar),SIWAN,Rabi       ,Wheat,91888,191136
बिहार (Bihar),MADHUBANI,Whole Year ,Garlic,19,29
बिहार (Bihar),BUXAR,Whole Year ,Sugarcane,590,39315
बिहार (Bihar),JEHANABAD,Kharif     ,Urad,7,2
बिहार (Bihar),KHAGARIA,Summer     ,Moong(Green Gram),1637,1809
बिहार (Bihar),SAMASTIPUR,Rabi       ,Other  Rabi pulses,14287,8095
बिहार (Bihar),MUNGER,Rabi       ,Barley,41,28
बिहार (Bihar),BUXAR,Kharif     ,Jowar,2084,3091
बिहार (Bihar),ARARIA,Kharif     ,Other Kharif pulses,41,24
बिहार (Bihar),GAYA,Whole Year ,Sweet potato,14,151
बिहार (Bihar),DARBHANGA,Rabi       ,Masoor,3476,2110
बिहार (Bihar),KATIHAR,Rabi       ,Other  Rabi pulses,10,7
बिहार (Bihar),KHAGARIA,Rabi       ,Wheat,30115,114671
बिहार (Bihar),PURBI CHAMPARAN,Rabi       ,Rapeseed &Mustard,1135,729
बिहार (Bihar),ROHTAS,Rabi       ,Masoor,5285,5449
बिहार (Bihar),MUNGER,Winter     ,Rice,31713,46881
बिहार (Bihar),SUPAUL,Rabi       ,Rapeseed &Mustard,2241,2373
बिहार (Bihar),JEHANABAD,Rabi       ,Wheat,32803,72142
बिहार (Bihar),PASHCHIM CHAMPARAN,Rabi       ,Gram,81,80
बिहार (Bihar),BEGUSARAI,Rabi       ,Rapeseed &Mustard,6739,8902
बिहार (Bihar),VAISHALI,Kharif     ,Jute,3,24
बिहार (Bihar),VAISHALI,Whole Year ,Coriander,179,124
बिहार (Bihar),PURBI CHAMPARAN,Whole Year ,Sugarcane,22789,954904
बिहार (Bihar),PURNIA,Rabi       ,Gram,50,57
बिहार (Bihar),BUXAR,Rabi       ,Maize,82,201
बिहार (Bihar),PURBI CHAMPARAN,Rabi       ,Sunflower,106,138
बिहार (Bihar),ROHTAS,Rabi       ,Maize,6,18
बिहार (Bihar),KISHANGANJ,Summer     ,Maize,1708,8013
बिहार (Bihar),AURANGABAD,Summer     ,Moong(Green Gram),4,5
बिहार (Bihar),KISHANGANJ,Rabi       ,Khesari,487,479
बिहार (Bihar),AURANGABAD,Kharif     ,Sesamum,9,8
बिहार (Bihar),MADHUBANI,Rabi       ,Maize,50,138
बिहार (Bihar),LAKHISARAI,Kharif     ,Horse-gram,119,88
बिहार (Bihar),MADHUBANI,Rabi       ,Wheat,64513,105523
बिहार (Bihar),BHAGALPUR,Kharif     ,Maize,25109,37755
बिहार (Bihar),ROHTAS,Summer     ,Rice,340,582
बिहार (Bihar),BANKA,Kharif     ,Arhar/Tur,775,502
बिहार (Bihar),MADHUBANI,Whole Year ,Sugarcane,934,36118
बिहार (Bihar),NAWADA,Summer     ,Moong(Green Gram),1605,957
बिहार (Bihar),PATNA,Rabi       ,Khesari,10381,18354
बिहार (Bihar),ROHTAS,Rabi       ,Maize,5,7
बिहार (Bihar),GAYA,Rabi       ,Wheat,55542,98825
बिहार (Bihar),AURANGABAD,Rabi       ,Linseed,6776,3801
बिहार (Bihar),KHAGARIA,Whole Year ,Banana,142,2150
बिहार (Bihar),SARAN,Rabi       ,Linseed,80,79
बिहार (Bihar),SUPAUL,Rabi       ,Maize,3858,11586
बिहार (Bihar),ARWAL,Rabi       ,Linseed,167,141
बिहार (Bihar),MUZAFFARPUR,Autumn     ,Rice,28848,34285
बिहार (Bihar),MUNGER,Whole Year ,Sannhamp,22,6
बिहार (Bihar),MADHUBANI,Rabi       ,Gram,821,900
बिहार (Bihar),JAMUI,Whole Year ,Potato,1688,16815
बिहार (Bihar),ROHTAS,Whole Year ,Coriander,53,35
बिहार (Bihar),DARBHANGA,Rabi       ,Wheat,60446,99524
बिहार (Bihar),KISHANGANJ,Rabi       ,Barley,84,97
बिहार (Bihar),KISHANGANJ,Kharif     ,Horse-gram,961,765
बिहार (Bihar),PASHCHIM CHAMPARAN,Kharif     ,Jute,82,752
बिहार (Bihar),PURBI CHAMPARAN,Summer     ,Moong(Green Gram),1183,666
बिहार (Bihar),ARARIA,Kharif     ,Ragi,187,276
बिहार (Bihar),MUNGER,Kharif     ,Moong(Green Gram),92,83
बिहार (Bihar),PATNA,Whole Year ,Onion,1091,12328
छत्तीसगढ (Chhattisgarh),BILASPUR,Rabi       ,Rapeseed &Mustard,2556,789
छत्तीसगढ (Chhattisgarh),NARAYANPUR,Whole Year ,Jowar,8,6
छत्तीसगढ (Chhattisgarh),JASHPUR,Kharif     ,Sesamum,221,69
छत्तीसगढ (Chhattisgarh),JANJGIR-CHAMPA,Rabi       ,Rapeseed &Mustard,659,167
छत्तीसगढ (Chhattisgarh),KORBA,Kharif     ,Mesta,23,49
छत्तीसगढ (Chhattisgarh),BIJAPUR,Kharif     ,Sesamum,93,18
