state,district,season,crop,area,production
आंध्र प्रदेश (Andhra Pradesh),KADAPA,Rabi       ,Onion,1034,3154
आंध्र प्रदेश (Andhra Pradesh),SRIKAKULAM,Rabi       ,Urad,46081,24054
आंध्र प्रदेश (Andhra Pradesh),SRIKAKULAM,Rabi       ,Onion,1248,23424
आंध्र प्रदेश (Andhra Pradesh),EAST GODAVARI,Kharif     ,Moong(Green Gram),62,23
आंध्र प्रदेश (Andhra Pradesh),WEST GODAVARI,Rabi       ,Jowar,66,124
आंध्र प्रदेश (Andhra Pradesh),KURNOOL,Rabi       ,Bajra,236,282
आंध्र प्रदेश (Andhra Pradesh),GUNTUR,Rabi       ,Rice,44917,181060
आंध्र प्रदेश (Andhra Pradesh),KADAPA,Kharif     ,Other Kharif pulses,2,1516
आंध्र प्रदेश (Andhra Pradesh),WEST GODAVARI,Rabi       ,Maize,49482,301197
आंध्र प्रदेश (Andhra Pradesh),GUNTUR,Rabi       ,Onion,40,707
आंध्र प्रदेश (Andhra Pradesh),GUNTUR,Rabi       ,Jowar,5108,35633
आंध्र प्रदेश (Andhra Pradesh),CHITTOOR,Kharif     ,Sunflower,66,52
आंध्र प्रदेश (Andhra Pradesh),ANANTAPUR,Kharif     ,Other Kharif pulses,2496,324
आंध्र प्रदेश (Andhra Pradesh),PRAKASAM,Kharif     ,Rice,72100,206700
आंध्र प्रदेश (Andhra Pradesh),KADAPA,Whole Year ,Orange,3178,25978
आंध्र प्रदेश (Andhra Pradesh),EAST GODAVARI,Kharif     ,Bajra,3248,2339
आंध्र प्रदेश (Andhra Pradesh),ANANTAPUR,Whole Year ,Sugarcane,454,32386
आंध्र प्रदेश (Andhra Pradesh),VIZIANAGARAM,Kharif     ,Turmeric,128,852
आंध्र प्रदेश (Andhra Pradesh),VISAKHAPATANAM,Whole Year ,Coconut ,7528,81264760
आंध्र प्रदेश (Andhra Pradesh),VIZIANAGARAM,Rabi       ,Gram,322,422
आंध्र प्रदेश (Andhra Pradesh),SPSR NELLORE,Kharif     ,Rice,60057,197167
आंध्र प्रदेश (Andhra Pradesh),KRISHNA,Whole Year ,Tobacco,5097,9589
आंध्र प्रदेश (Andhra Pradesh),ANANTAPUR,Kharif     ,Arecanut,558,302
आंध्र प्रदेश (Andhra Pradesh),KRISHNA,Rabi       ,Groundnut,1947,3475
आंध्र प्रदेश (Andhra Pradesh),CHITTOOR,Kharif     ,Rice,18019,53639
आंध्र प्रदेश (Andhra Pradesh),ANANTAPUR,Rabi       ,Wheat,179,97
आंध्र प्रदेश (Andhra Pradesh),CHITTOOR,Whole Year ,Tobacco,14,13
आंध्र प्रदेश (Andhra Pradesh),WEST GODAVARI,Kharif     ,Castor seed,276,84
आंध्र प्रदेश (Andhra Pradesh),EAST GODAVARI,Rabi       ,Sunflower,291,260
आंध्र प्रदेश (Andhra Pradesh),SRIKAKULAM,Rabi       ,Sesamum,3791,561
आंध्र प्रदेश (Andhra Pradesh),KRISHNA,Kharif     ,Sunflower,1200,900
आंध्र प्रदेश (Andhra Pradesh),PRAKASAM,Whole Year ,Sweet potato,137,1918
आंध्र प्रदेश (Andhra Pradesh),VIZIANAGARAM,Rabi       ,Jowar,5,23
आंध्र प्रदेश (Andhra Pradesh),GUNTUR,Whole Year ,Banana,6340,180798
आंध्र प्रदेश (Andhra Pradesh),KURNOOL,Whole Year ,Other Fresh Fruits,549,948
आंध्र प्रदेश (Andhra Pradesh),KURNOOL,Rabi       ,Maize,631,4373
आंध्र प्रदेश (Andhra Pradesh),SPSR NELLORE,Kharif     ,Lemon,12726,68720
आंध्र प्रदेश (Andhra Pradesh),KRISHNA,Rabi       ,Horse-gram,201,83
आंध्र प्रदेश (Andhra Pradesh),CHITTOOR,Rabi       ,Sunflower,1078,860
आंध्र प्रदेश (Andhra Pradesh),SRIKAKULAM,Rabi       ,Moong(Green Gram),24544,7118
आंध्र प्रदेश (Andhra Pradesh),CHITTOOR,Rabi       ,Dry chillies,1751,3488
आंध्र प्रदेश (Andhra Pradesh),GUNTUR,Kharif     ,Soyabean,168,305
आंध्र प्रदेश (Andhra Pradesh),KRISHNA,Rabi       ,Horse-gram,375,190
आंध्र प्रदेश (Andhra Pradesh),VIZIANAGARAM,Kharif     ,Bajra,973,683
आंध्र प्रदेश (Andhra Pradesh),KURNOOL,Kharif     ,Sapota,306,2560
आंध्र प्रदेश (Andhra Pradesh),KRISHNA,Kharif     ,Rice,262826,980105
आंध्र प्रदेश (Andhra Pradesh),EAST GODAVARI,Kharif     ,Groundnut,36,59
आंध्र प्रदेश (Andhra Pradesh),SRIKAKULAM,Kharif     ,Maize,311,831
आंध्र प्रदेश (Andhra Pradesh),VIZIANAGARAM,Whole Year ,Sunflower,41,40
आंध्र प्रदेश (Andhra Pradesh),VISAKHAPATANAM,Kharif     ,Groundnut,1383,1481
आंध्र प्रदेश (Andhra Pradesh),KURNOOL,Whole Year ,Cucumber,399,0
आंध्र प्रदेश (Andhra Pradesh),PRAKASAM,Rabi       ,Tobacco,78761,167264
आंध्र प्रदेश (Andhra Pradesh),VIZIANAGARAM,Rabi       ,Arhar/Tur,120,79
आंध्र प्रदेश (Andhra Pradesh),SRIKAKULAM,Kharif     ,Papaya,45,4902
आंध्र प्रदेश (Andhra Pradesh),SRIKAKULAM,Whole Year ,Tapioca,189,1560
आंध्र प्रदेश (Andhra Pradesh),CHITTOOR,Rabi       ,Rice,37000,116000
आंध्र प्रदेश (Andhra Pradesh),ANANTAPUR,Rabi       ,Linseed,8,2
आंध्र प्रदेश (Andhra Pradesh),KRISHNA,Whole Year ,Sugarcane,15203,1535260
आंध्र प्रदेश (Andhra Pradesh),KADAPA,Rabi       ,Dry chillies,78,155
आंध्र प्रदेश (Andhra Pradesh),ANANTAPUR,Whole Year ,Coconut ,908,3896970
आंध्र प्रदेश (Andhra Pradesh),PRAKASAM,Rabi       ,Groundnut,12200,18400
आंध्र प्रदेश (Andhra Pradesh),GUNTUR,Kharif     ,Sesamum,8839,3323
आंध्र प्रदेश (Andhra Pradesh),SRIKAKULAM,Rabi       ,Jowar,170,77
आंध्र प्रदेश (Andhra Pradesh),KURNOOL,Rabi       ,Sunflower,120469,68788
आंध्र प्रदेश (Andhra Pradesh),PRAKASAM,Kharif     ,Dry ginger,8,62
आंध्र प्रदेश (Andhra Pradesh),EAST GODAVARI,Whole Year ,Beans & Mutter(Vegetable),285,1436
आंध्र प्रदेश (Andhra Pradesh),KURNOOL,Whole Year ,Turmeric,978,7409
आंध्र प्रदेश (Andhra Pradesh),PRAKASAM,Kharif     ,Gram,61,145
आंध्र प्रदेश (Andhra Pradesh),GUNTUR,Kharif     ,Jowar,600,200
आंध्र प्रदेश (Andhra Pradesh),CHITTOOR,Kharif     ,Groundnut,234900,144200
आंध्र प्रदेश (Andhra Pradesh),CHITTOOR,Kharif     ,Small millets,427,131
आंध्र प्रदेश (Andhra Pradesh),EAST GODAVARI,Kharif     ,Ragi,81,82
आंध्र प्रदेश (Andhra Pradesh),VIZIANAGARAM,Rabi       ,Bajra,5,5
आंध्र प्रदेश (Andhra Pradesh),VISAKHAPATANAM,Rabi       ,Onion,110,2793
आंध्र प्रदेश (Andhra Pradesh),KURNOOL,Rabi       ,Linseed,6,1
आंध्र प्रदेश (Andhra Pradesh),VISAKHAPATANAM,Rabi       ,Sunflower,246,275
आंध्र प्रदेश (Andhra Pradesh),ANANTAPUR,Whole Year ,Sweet potato,25,137
अरुणाचल प्रदेश (Arunachal Pradesh),LOHIT,Kharif     ,Rice,13980,13630
अरुणाचल प्रदेश (Arunachal Pradesh),LOWER SUBANSIRI,Whole Year ,Potato,550,3898
अरुणाचल प्रदेश (Arunachal Pradesh),UPPER SUBANSIRI,Whole Year ,Oilseeds total,1155,1444
अरुणाचल प्रदेश (Arunachal Pradesh),DIBANG VALLEY,Whole Year ,Oilseeds total,4225,4647
अरुणाचल प्रदेश (Arunachal Pradesh),DIBANG VALLEY,Kharif     ,Rice,1610,1382
अरुणाचल प्रदेश (Arunachal Pradesh),ANJAW,Kharif     ,Rice,4085,2530
अरुणाचल प्रदेश (Arunachal Pradesh),TIRAP,Whole Year ,Pulses total,316,300
अरुणाचल प्रदेश (Arunachal Pradesh),WEST KAMENG,Kharif     ,Rice,859,723
अरुणाचल प्रदेश (Arunachal Pradesh),UPPER SUBANSIRI,Whole Year ,Turmeric,20,150
अरुणाचल प्रदेश (Arunachal Pradesh),CHANGLANG,Kharif     ,Maize,1460,2090
अरुणाचल प्रदेश (Arunachal Pradesh),TIRAP,Whole Year ,Potato,50,300
अरुणाचल प्रदेश (Arunachal Pradesh),LOWER SUBANSIRI,Kharif     ,Rice,8290,14358
अरुणाचल प्रदेश (Arunachal Pradesh),EAST KAMENG,Whole Year ,Potato,103,710
अरुणाचल प्रदेश (Arunachal Pradesh),PAPUM PARE,Kharif     ,Small millets,520,635
अरुणाचल प्रदेश (Arunachal Pradesh),DIBANG VALLEY,Whole Year ,Dry ginger,2420,21780
अरुणाचल प्रदेश (Arunachal Pradesh),PAPUM PARE,Whole Year ,Potato,205,1650
अरुणाचल प्रदेश (Arunachal Pradesh),DIBANG VALLEY,Rabi       ,Wheat,100,140
अरुणाचल प्रदेश (Arunachal Pradesh),PAPUM PARE,Whole Year ,Sugarcane,175,2888
असम (Assam),KAMRUP,Rabi       ,Peas & beans (Pulses),1624,1399
असम (Assam),DARRANG,Rabi       ,Linseed,835,369
असम (Assam),KARIMGANJ,Autumn     ,Paddy,2260,4148
असम (Assam),KAMRUP,Kharif     ,Cotton(lint),93,43
असम (Assam),DHUBRI,Rabi       ,Blackgram,4280,2475
असम (Assam),BAKSA,Rabi       ,Ginger,440,3075
असम (Assam),CACHAR,Whole Year ,Pineapple,1550,26207
असम (Assam),KOKRAJHAR,Kharif     ,Small millets,467,268
असम (Assam),TINSUKIA,Rabi       ,Linseed,1,1
असम (Assam),SIVASAGAR,Whole Year ,Arecanut,5930,6372
